Otu3,Otu6,Otu8,Otu22,Otu23,Otu40,Otu55,Otu61,Otu63,Otu70,Otu92,Otu105,Otu108,Otu112,Otu122,Otu124,Otu145,Otu212,Otu217,Otu290,class
0,0.005562,0.244716,0,0.017798,0,0.061179,0,0.268076,0,0.073415,0.011123,0.012236,0.135706,0,0.097887,0,0.068966,0.002225,0.001112,M
0.001686,0.080944,0.274311,0,0.096684,0.08769,0.022485,0,0.164699,0.003373,0.040472,0.082069,0,0.052839,0.005621,0.079258,0,0.006745,0,0.001124,F
0.001823,0.001519,0.166768,0,0.015492,0.266707,0.017618,0,0.032807,0.143985,0.026124,0.074423,0.008505,0.098117,0,0.052855,0.085358,0.004253,0.002734,0.000911,F
0,0.000485,0.390102,0,0.022804,0,0.067928,0.081514,0.014556,0,0.004852,0,0.018438,0.026201,0,0.143134,0.206211,0.001941,0,0.021834,M
0,0.003176,0.162591,0.280089,0.000635,0.176246,0.033026,0.000635,0.061289,0.008257,0.015878,0.035249,0.002858,0.056843,0.022547,0.001905,0.132423,0,0.000635,0.005716,M
0.1625,0.83125,0,0,0.00625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0.002232,0.009673,0,0.000744,0.000744,0.391369,0.004464,0.011161,0,0.110119,0.001488,0,0,0,0.012649,0,0.438244,0.017113,0,0,M
0,0.005753,0.27614,0.621171,0,0,0.001438,0,0,0.070329,0,0.002733,0,0.001151,0.000431,0,0,0.006903,0.000431,0.013519,M
0,0.805755,0.100719,0,0.021583,0,0,0,0,0,0.014388,0,0.028777,0,0,0.028777,0,0,0,0,F
0,0.004496,0.339114,0,0.007065,0,0.011561,0,0.000642,0,0.057803,0.055877,0.469493,0.001285,0,0.019268,0.004496,0.022479,0,0.006423,F
0.005988,0.017964,0.011976,0,0.317365,0.005988,0.077844,0,0,0,0.011976,0,0.023952,0.017964,0.005988,0,0,0.502994,0,0,M
0.00039,0.026542,0.604606,0,0.000781,0,0,0,0.053474,0,0.289617,0.00039,0,0.001561,0,0,0,0.001171,0.021077,0.00039,F
0.009346,0.166667,0.115265,0,0,0,0.001558,0,0,0,0,0,0.001558,0,0,0,0.679128,0.02648,0,0,F
0.008889,0.051111,0.822222,0,0.022222,0,0,0,0.008889,0,0.013333,0,0,0,0,0,0.022222,0.051111,0,0,M
0.000548,0.006575,0.458082,0.001096,0.019178,0,0.003836,0,0.222466,0,0.064658,0.008219,0.152329,0,0,0.014795,0,0.00274,0.020274,0.025205,M
0,0,0.214286,0,0.285714,0.214286,0,0.214286,0,0,0.071429,0,0,0,0,0,0,0,0,0,F
0.012531,0.007519,0.668338,0,0.071846,0.000835,0.016291,0.007519,0.08939,0,0.022974,0.056809,0.00919,0.004177,0,0,0,0.00919,0.020886,0.002506,M
0.014716,0.907498,0.047652,0,0.011212,0,0,0,0,0,0.001402,0,0.007008,0,0,0,0.006307,0.004205,0,0,F
0,0.115368,0.88248,0,0,0,0,0.001291,0,0,0.000861,0,0,0,0,0,0,0,0,0,F
0,0.018778,0.107893,0.019733,0.379694,0.077658,0.071292,0.002546,0.036601,0.019414,0.062062,0.003819,0.000637,0.001591,0.028008,0.021006,0.140993,0.001591,0,0.006684,F
0,0.048839,0.309848,0,0.003203,0.314251,0.007206,0.040432,0.10008,0,0.043235,0.026421,0.000801,0,0.092074,0,0,0.005604,0,0.008006,M
0.0026,0.023397,0.240901,0.005199,0,0,0.200173,0.019064,0.008666,0.000867,0.02773,0.015598,0.373484,0.006932,0,0.071057,0.001733,0.0026,0,0,M
0.003681,0.028221,0.638037,0,0.003681,0.013497,0.068712,0.001227,0.01227,0,0.07362,0,0,0.031902,0.09816,0,0.002454,0.023313,0.001227,0,F
0,0.012539,0.184953,0,0.009404,0.210031,0.040752,0.003135,0.056426,0.025078,0.043887,0.028213,0.15674,0,0,0.028213,0.144201,0.050157,0,0.00627,F
0.001849,0.010301,0.000264,0.000264,0.204173,0.000264,0.516904,0.000264,0.077919,0.000528,0,0.005283,0,0.124406,0.021923,0,0,0.016112,0,0.019546,M
